Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Ethiopia,Africa,276598,240.6,561,0.49,95,4335,3.77,15,0.01,3,Community transmission
Ireland,Europe,275038,5540.16,3184,64.14,397,5000,100.72,11,0.22,0,Community transmission
Honduras,Americas,270020,2726.21,7951,80.28,1020,7149,72.18,169,1.71,20,Community transmission
Sri Lanka,South-East Asia,268676,1254.72,9587,44.77,1243,3294,15.38,274,1.28,38,Clusters of cases
Bahrain,Eastern Mediterranean,266797,15679.41,970,57.01,112,1367,80.34,15,0.88,1,Community transmission
Slovenia,Europe,257477,12285.02,189,9.02,48,4752,226.73,0,0,0,Clusters of cases
Republic of Moldova,Europe,257105,6373.51,436,10.81,70,6200,153.7,9,0.22,3,Community transmission
Armenia,Europe,225801,7620.09,706,23.83,140,4531,152.91,17,0.57,1,Community transmission
Qatar,Eastern Mediterranean,222918,7737.38,847,29.4,158,596,20.69,6,0.21,2,Community transmission
Cuba,Americas,214577,1894.45,23584,208.22,3664,1405,12.4,121,1.07,18,Community transmission
Bosnia and Herzegovina,Europe,205093,6251.28,89,2.71,22,9671,294.77,8,0.24,2,Community transmission
Libya,Eastern Mediterranean,198142,2883.62,4668,67.93,1248,3223,46.91,30,0.44,8,Community transmission
Kenya,Africa,186453,346.75,2850,5.3,400,3697,6.88,76,0.14,7,Community transmission
Myanmar,South-East Asia,175923,323.33,18646,34.27,3947,3570,6.56,236,0.43,57,Clusters of cases
Nigeria,Africa,168000,81.5,457,0.22,141,2121,1.03,1,0,0,Community transmission
Zambia,Africa,167132,909.12,15076,82.01,1619,2559,13.92,421,2.29,67,Community transmission
Republic of Korea,Western Pacific,164028,319.93,6306,12.3,1275,2034,3.97,13,0.03,1,Clusters of cases
North Macedonia,Europe,155732,7474.97,50,2.4,16,5486,263.32,2,0.1,0,Sporadic cases
Algeria,Africa,142447,324.84,3218,7.34,481,3775,8.61,67,0.15,10,Community transmission
Puerto Rico,Americas,140412,4908.05,386,13.49,6,2552,89.2,3,0.1,0,Community transmission
Latvia,Europe,137699,7218.16,370,19.4,46,2531,132.67,23,1.21,3,Community transmission
Kyrgyzstan,Europe,134501,2061.57,9498,145.58,1198,2063,31.62,63,0.97,9,Clusters of cases
Albania,Europe,132544,4605.74,30,1.04,7,2456,85.34,0,0,0,Clusters of cases
Norway,Europe,132361,2465.93,1325,24.69,226,796,14.83,2,0.04,2,Clusters of cases
Estonia,Europe,131299,9879.71,235,17.68,42,1270,95.56,1,0.08,0,Clusters of cases
Mongolia,Western Pacific,130452,3979.27,14974,456.76,1998,646,19.71,83,2.53,7,Clusters of cases
Afghanistan,Eastern Mediterranean,130113,334.24,9897,25.42,1092,5477,14.07,515,1.32,62,Community transmission
China,Western Pacific,119094,8.09,522,0.04,58,5563,0.38,68,0,9,Clusters of cases
Uzbekistan,Europe,114039,340.73,3362,10.05,471,758,2.26,22,0.07,4,Clusters of cases
Kosovo[1],Europe,107767,6001.51,61,3.4,10,2251,125.36,3,0.17,0,Community transmission
Montenegro,Europe,100351,15977.88,88,14.01,0,1619,257.78,6,0.96,0,Clusters of cases
Namibia,Africa,99808,3928.05,11255,442.95,1286,1742,68.56,275,10.82,52,Community transmission
Finland,Europe,97049,1756.45,1307,23.65,258,973,17.61,1,0.02,0,Clusters of cases
Ghana,Africa,96402,310.24,760,2.45,0,796,2.56,1,0,0,Community transmission
Uganda,Africa,84554,184.85,5120,11.19,438,1193,2.61,204,0.45,0,Community transmission
Mozambique,Africa,82346,263.46,6518,20.85,1458,923,2.95,51,0.16,11,Community transmission
Cameroon,Africa,80858,304.6,0,0,0,1324,4.99,0,0,0,Community transmission
El Salvador,Americas,80235,1237.01,1469,22.65,0,2420,37.31,39,0.6,6,Community transmission
Cyprus,Europe,79636,8967.97,4205,473.53,827,380,42.79,6,0.68,0,Clusters of cases
Maldives,South-East Asia,74724,13823.85,926,171.31,139,213,39.4,3,0.55,0,Clusters of cases
Botswana,Africa,73977,3145.78,3906,166.1,0,1188,50.52,63,2.68,0,Community transmission
Luxembourg,Europe,71547,11427.26,760,121.38,0,818,130.65,0,0,0,Community transmission
Singapore,Western Pacific,62652,1070.91,73,1.25,12,36,0.62,0,0,0,Sporadic cases
Cambodia,Western Pacific,57103,341.55,6718,40.18,981,798,4.77,196,1.17,19,Sporadic cases
Zimbabwe,Africa,56014,376.87,7481,50.33,0,1939,13.05,178,1.2,28,Community transmission
Jamaica,Americas,50456,1703.92,332,11.21,52,1101,37.18,26,0.88,5,Community transmission
Côte d’Ivoire,Africa,48634,184.37,392,1.49,54,315,1.19,2,0.01,0,Community transmission
Rwanda,Africa,44279,341.86,6895,53.23,883,491,3.79,64,0.49,12,Community transmission
Senegal,Africa,44080,263.26,1123,6.71,121,1178,7.04,12,0.07,3,Community transmission
Democratic Republic of the Congo,Africa,42880,47.88,2044,2.28,263,969,1.08,45,0.05,7,Community transmission
Madagascar,Africa,42392,153.09,198,0.72,26,927,3.35,18,0.07,2,Community transmission
Angola,Africa,39375,119.8,693,2.11,75,920,2.8,26,0.08,5,Community transmission
Malawi,Africa,37366,195.33,1469,7.68,309,1218,6.37,24,0.13,3,Community transmission
Sudan,Eastern Mediterranean,36805,83.94,96,0.22,0,2760,6.29,0,0,0,Clusters of cases
Trinidad and Tobago,Americas,33805,2415.53,1277,91.25,250,903,64.52,70,5,4,Community transmission
Cabo Verde,Africa,32788,5897.26,331,59.53,43,289,51.98,3,0.54,1,Community transmission
Réunion,Africa,31845,3556.86,1262,140.96,0,244,27.25,7,0.78,0,Community transmission
Australia,Western Pacific,30861,121.02,251,0.98,29,910,3.57,0,0,0,Clusters of cases
Malta,Europe,30700,5966.22,77,14.96,25,420,81.62,0,0,0,Clusters of cases
French Guiana,Americas,27996,9373.18,460,154.01,0,154,51.56,9,3.01,0,Community transmission
Syrian Arab Republic,Eastern Mediterranean,25735,147.05,220,1.26,23,1893,10.82,17,0.1,2,Community transmission
Gabon,Africa,25106,1127.99,122,5.48,0,161,7.23,2,0.09,0,Community transmission
Guinea,Africa,23895,181.95,142,1.08,24,174,1.32,5,0.04,1,Community transmission
Viet Nam,Western Pacific,23385,24.02,6333,6.51,1044,102,0.1,21,0.02,5,Clusters of cases
Suriname,Americas,22581,3849.26,1062,181.03,116,552,94.1,36,6.14,4,Community transmission
Mauritania,Africa,21236,456.72,489,10.52,102,489,10.52,2,0.04,0,Community transmission
Guyana,Americas,20568,2614.96,609,77.43,179,482,61.28,14,1.78,4,Community transmission
Mayotte,Africa,19425,7120.21,13,4.77,13,174,63.78,0,0,0,Community transmission
Eswatini,Africa,19410,1673.04,326,28.1,326,683,58.87,5,0.43,5,Community transmission
Haiti,Americas,19172,168.14,435,3.81,0,467,4.1,24,0.21,0,Community transmission
French Polynesia,Western Pacific,19022,6771.61,15,5.34,2,144,51.26,2,0.71,0,Sporadic cases
Guadeloupe,Americas,17684,4419.63,145,36.24,0,270,67.48,3,0.75,0,Community transmission
Papua New Guinea,Western Pacific,17282,193.16,54,0.6,28,175,1.96,1,0.01,1,Community transmission
Seychelles,Africa,16411,16686.83,832,845.98,107,57,57.96,-11,-11.18,0,Community transmission
Somalia,Eastern Mediterranean,14995,94.35,49,0.31,0,775,4.88,0,0,0,Community transmission
Mali,Africa,14455,71.38,32,0.16,3,527,2.6,1,0,0,Community transmission
Togo,Africa,14105,170.38,224,2.71,23,132,1.59,3,0.04,0,Community transmission
Tajikistan,Europe,14061,147.43,156,1.64,0,96,1.01,5,0.05,0,Pending
Andorra,Europe,13991,18107.81,91,117.78,0,127,164.37,0,0,0,Community transmission
Burkina Faso,Africa,13494,64.55,15,0.07,0,168,0.8,0,0,0,Community transmission
Belize,Americas,13409,3372.25,182,45.77,18,330,82.99,1,0.25,0,Community transmission
Bahamas,Americas,12965,3296.94,266,67.64,76,252,64.08,6,1.53,1,Clusters of cases
Congo,Africa,12790,231.78,194,3.52,0,167,3.03,2,0.04,0,Community transmission
Martinique,Americas,12396,3303.27,110,29.31,0,98,26.11,0,0,0,Community transmission
Curaçao,Americas,12350,7526.22,11,6.7,1,126,76.79,0,0,0,Community transmission
Lesotho,Africa,11638,543.26,294,13.72,4,333,15.54,4,0.19,0,Community transmission
Djibouti,Eastern Mediterranean,11609,1175,7,0.71,0,155,15.69,0,0,0,Clusters of cases
Aruba,Americas,11144,10437.78,9,8.43,0,107,100.22,0,0,0,Community transmission
South Sudan,Africa,10886,97.25,52,0.46,7,117,1.05,0,0,0,Community transmission
Timor-Leste,South-East Asia,9594,727.68,372,28.22,36,25,1.9,2,0.15,0,Community transmission
Equatorial Guinea,Africa,8775,625.45,41,2.92,16,122,8.7,1,0.07,0,Community transmission
Benin,Africa,8227,67.86,28,0.23,28,105,0.87,1,0.01,1,Community transmission
Guam,Western Pacific,8142,4824.17,46,27.26,14,140,82.95,0,0,0,Clusters of cases
Fiji,Western Pacific,7940,885.72,3522,392.89,791,42,4.69,21,2.34,3,Sporadic cases
Central African Republic,Africa,7142,147.87,1,0.02,1,98,2.03,0,0,0,Community transmission
Yemen,Eastern Mediterranean,6934,23.25,14,0.05,3,1364,4.57,3,0.01,1,Community transmission
Nicaragua,Americas,6819,102.94,215,3.25,0,192,2.9,1,0.02,0,Community transmission
Iceland,Europe,6664,1830.1,15,4.12,0,30,8.24,0,0,0,Community transmission
Eritrea,Africa,6188,174.49,252,7.11,61,25,0.7,2,0.06,0,Community transmission
Gambia,Africa,6116,253.08,37,1.53,0,182,7.53,1,0.04,0,Community transmission
Sierra Leone,Africa,5836,73.16,341,4.27,25,108,1.35,10,0.13,1,Community transmission
Burundi,Africa,5559,46.75,107,0.9,24,8,0.07,0,0,0,Community transmission
Niger,Africa,5519,22.8,31,0.13,4,194,0.8,1,0,0,Community transmission
Saint Lucia,Americas,5363,2920.59,71,38.67,37,85,46.29,1,0.54,0,Community transmission
San Marino,Europe,5092,15003.83,0,0,0,90,265.19,0,0,0,Community transmission
Chad,Africa,4952,30.15,1,0.01,0,174,1.06,0,0,0,Community transmission
Liberia,Africa,4918,97.24,1018,20.13,0,134,2.65,7,0.14,0,Community transmission
Gibraltar,Europe,4372,12976.76,26,77.17,6,94,279.01,0,0,0,Clusters of cases
Barbados,Americas,4108,1429.49,27,9.4,17,47,16.35,0,0,0,Community transmission
Comoros,Africa,4028,463.2,22,2.53,0,146,16.79,0,0,0,Community transmission
United States Virgin Islands,Americas,3942,3774.96,84,80.44,0,32,30.64,2,1.92,2,Community transmission
Guinea-Bissau,Africa,3901,198.22,48,2.44,20,70,3.56,1,0.05,1,Community transmission
Jersey,Europe,3884,3603.1,428,397.05,210,69,64.01,0,0,0,Community transmission
Liechtenstein,Europe,3141,8106.43,10,25.81,0,58,149.69,0,0,0,Sporadic cases
Sint Maarten,Americas,2630,6133.11,16,37.31,3,34,79.29,1,2.33,1,Community transmission
Monaco,Europe,2595,6612.48,19,48.42,6,33,84.09,0,0,0,Sporadic cases
Bermuda,Americas,2521,4048.3,7,11.24,1,33,52.99,0,0,0,Sporadic cases
Turks and Caicos Islands,Americas,2425,6263.24,0,0,0,18,46.49,0,0,0,Clusters of cases
Saint Martin,Americas,2420,6259.86,53,137.1,0,29,75.01,2,5.17,0,Community transmission
New Zealand,Western Pacific,2408,49.94,25,0.52,1,26,0.54,0,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,2400,32.99,279,3.83,44,3,0.04,0,0,0,Sporadic cases
Sao Tome and Principe,Africa,2383,1087.34,17,7.76,6,37,16.88,0,0,0,Community transmission
Bhutan,South-East Asia,2249,291.47,149,19.31,39,1,0.13,0,0,0,Clusters of cases
Saint Vincent and the Grenadines,Americas,2240,2019.11,15,13.52,0,12,10.82,0,0,0,Community transmission
Mauritius,Africa,2078,163.39,180,14.15,31,18,1.42,0,0,0,Clusters of cases
Isle of Man,Europe,1643,1932.21,34,39.98,5,29,34.1,0,0,0,No cases
Bonaire,Americas,1626,7774.32,4,19.13,0,17,81.28,0,0,0,Community transmission
Antigua and Barbuda,Americas,1265,1291.75,2,2.04,0,42,42.89,0,0,0,Clusters of cases
Saint Barthélemy,Americas,1046,10581.69,3,30.35,0,1,10.12,0,0,0,Clusters of cases
Guernsey,Europe,850,1318.48,13,20.17,2,17,26.37,0,0,0,Community transmission
British Virgin Islands,Americas,793,2622.61,480,1587.46,0,1,3.31,0,0,0,Community transmission
Faroe Islands,Europe,793,1622.84,18,36.84,9,1,2.05,0,0,0,Sporadic cases
Other,Other,764,,0,,0,13,,0,,0,Not applicable
Cayman Islands,Americas,615,935.79,1,1.52,1,2,3.04,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,517,971.95,74,139.12,2,3,5.64,0,0,0,Community transmission
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,266,60.8,6,1.37,0,3,0.69,0,0,0,Sporadic cases
Dominica,Americas,197,273.65,4,5.56,0,0,0,0,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,184,319.68,1,1.74,0,2,3.47,0,0,0,Pending
Grenada,Americas,162,143.97,0,0,0,1,0.89,0,0,0,Sporadic cases
New Caledonia,Western Pacific,129,45.18,0,0,0,0,0,0,0,0,Sporadic cases
Anguilla,Americas,111,739.9,2,13.33,0,0,0,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,60,1722.65,0,0,0,0,0,0,0,0,No cases
Greenland,Europe,51,89.83,1,1.76,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,26,448.66,0,0,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,No cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0,No cases
Saba,Americas,7,362.13,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
